bemerkung;foto-nachweis;pollenproben vorhanden;plot;nest-label;bearbeiterIn;collection-date;post;tube;nest-material;cavity-diameter;cavity-length;n-brood-cells;n-brood-cells-leer;position nestverschluss;Nestverschluss offen (o) / zu(z);Wespe (w) /biene (b) /spinne (s) /diptera (d);rlp/he_RL-status;de_RL_status;host-family;host-species;host-food-resource;n-food-resource;n-host-individuals;n-male;n-female;n-gefressen/geschluepft;tot in kokon;n-dead-brood-cells;n-unknown-mortality;n-attacked-brood-cells;n-enemy-individuals;rlp/he_RL-status2;de_RL_status2;enemy-family-1;enemy-species-1;enemy-type-1;n-attacked-brood-cells-1;n-enemy-individuals-1;rlp/he_RL-status3;de_RL_status3;enemy-family-2;enemy-species-2;enemy-type-2;n-attacked-brood-cells-2;n-enemy-individuals-2;mortality
;;x;he-bv-afs-acker-ost-li;he-bv-afs-acker-ost-li-O-1;lh;14.07.2024;Ost;li;ton;6;178;10;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;8;8;0;0;;2;2;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-ost-li;he-bv-afs-acker-ost-li-O-2;lh;14.07.2024;Ost;li;ton;5;65;4;na;5;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;4;0;4;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-ref-west-li;he-bv-ref-west-li-W-8;pb;14.07.2024;West;li;ton;7;80;6;0;39;z;b;*;*;Megachilidae;osmia bicornis;pollen;na;5;5;0;0;;1;0;1;1;♦;♦;Drosophilidae;cacoxenus indagator;cleptoparasit;1;1;;;;;;;;alife
;;x;he-bv-afs-acker-ost-li;he-bv-afs-acker-ost-li-O-4;lh;14.07.2024;Ost;li;ton;7;159;9;0;0;z;b;*;*;Megachilidae;osmia bicornis;pollen;na;8;2;6;0;;1;1;0;;;;;;;;;;;;;;;;alife
;;;he-bv-afs-acker-ost-li;he-bv-afs-acker-ost-li-O-5;lh;14.07.2024;Ost;li;ton;4;87;3;na;0;o;na;na;na;na;na;na;na;0;0;0;3;;0;0;0;;;;;;;;;;;;;;;;dead
zzgl totes tier;;;he-bv-afs-acker-ost-li;he-bv-afs-acker-ost-li-O-6;lh;14.07.2024;Ost;li;ton;8;148;6;na;0;na;na;na;na;na;na;pollen;na;0;0;0;0;;6;6;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-acker-ost-li;he-bv-afs-acker-ost-li-O-7;lh;14.07.2024;Ost;li;ton;7;130;1;na;11;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;0;0;0;0;;1;1;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-acker-ost-re;he-bv-afs-acker-ost-re-O-2;pb;14.07.2024;Ost;re;ton;7;57;3;0;0;z;b;*;*;Megachilidae;osmia bicornis;pollen;na;3;3;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-ost-re;he-bv-afs-acker-ost-re-O-4;pb;14.07.2024;Ost;re;ton;8;140;4;0;0;z;b;*;*;Megachilidae;osmia bicornis;pollen;na;4;3;1;0;;0;0;0;;;;;;;;;;;;;;;;alife
schimmlig;;x;he-bv-afs-acker-ost-re;he-bv-afs-acker-ost-re-O-6;pb;14.07.2024;Ost;re;ton;8;99;5;0;0;z;b;*;*;Megachilidae;osmia cornuta;pollen;na;0;0;0;0;;5;5;0;;;;;;;;;;;;;;;;dead
angefangene BZ;;;he-bv-afs-acker-ost-re;he-bv-afs-acker-ost-re-W-1;pb;14.07.2024;Ost;re;ton;8;0;0;0;na;o;na;na;na;na;na;na;na;0;0;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-ost-re;he-bv-afs-acker-ost-re-W-3;pb;14.07.2024;Ost;re;ton;7;83;2;0;0;z;b;*;*;Megachilidae;osmia bicornis;pollen;na;0;0;0;0;;2;2;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-acker-ost-re;he-bv-afs-acker-ost-re-W-5;pb;14.07.2024;Ost;re;ton;8;47;1;0;0;z;b;*;*;Megachilidae;osmia bicornis;pollen;na;1;1;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-ost-re;he-bv-afs-acker-ost-re-W-7;pb;14.07.2024;Ost;re;ton;8;83;2;0;0;o;b;*;*;Megachilidae;osmia cornuta;pollen;na;2;2;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-O-1;lh;14.07.2024;Sued;li;ton;6;141;6;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;5;5;0;0;;1;1;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-O-16;lh;14.07.2024;Sued;li;ton;8;71;3;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;3;3;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-O-21;lh;14.07.2024;Sued;li;ton;7;22;1;na;75;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;1;1;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-O-4;lh;14.07.2024;Sued;li;ton;8;68;3;na;0;na;b;*;*;Megachilidae;osmia cornuta;pollen;na;3;3;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-O-8;lh;14.07.2024;Sued;li;ton;7;46;2;na;51;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;1;1;0;0;;1;1;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-10;lh;14.07.2024;Sued;li;ton;7;121;7;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;6;5;1;0;;1;1;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-11-1;lh;14.07.2024;Sued;li;ton;7;45;3;na;na;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;3;3;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-wi-afs-br-nord-re;he-wi-afs-br-nord-re-W-24;pb;07.10.2024;Nord;re;ton;6;40;2;0;65;o;b;*;*;Megachilidae;osmia bicornis;pollen;na;1;1;0;0;;1;0;1;1;♦;♦;Drosophilidae;cacoxenus indagator;cleptoparasit;1;1;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-12-1;lh;14.07.2024;Sued;li;ton;10;50;4;na;na;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;4;0;4;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-wi-ref-sued-2-li;he-wi-ref-sued-2-li-O-49;mw;07.10.2024;Sued;li;ton;8;160;4;1;12;z;b;*;*;Megachilidae;osmia cornuta;pollen;na;3;2;1;0;;1;0;1;1;♦;♦;Drosophilidae;cacoxenus indagator;cleptoparasit;1;1;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-13;lh;14.07.2024;Sued;li;ton;5;123;4;na;0;na;b;*;*;Megachilidae;osmia cornuta;pollen;na;4;3;1;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-14;lh;14.07.2024;Sued;li;ton;6;91;5;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;5;5;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-15;lh;14.07.2024;Sued;li;ton;7;114;4;na;0;na;b;*;*;Megachilidae;osmia cornuta;pollen;na;4;4;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-wi-ref-sued-2-li;he-wi-ref-sued-2-li-O-5;pb;07.10.2024;Sued;li;ton;5;35;2;0;0;o;b;*;*;Megachilidae;osmia bicornis;pollen;na;1;1;0;0;;1;0;1;1;♦;♦;Drosophilidae;cacoxenus indagator;cleptoparasit;1;1;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-18;lh;14.07.2024;Sued;li;ton;8;152;10;1;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;6;6;0;0;;4;4;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-19;lh;14.07.2024;Sued;li;ton;8;88;5;na;39;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;5;4;1;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-2;lh;14.07.2024;Sued;li;ton;6;84;6;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;5;5;0;0;;1;1;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-20;lh;14.07.2024;Sued;li;ton;7;148;4;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;4;4;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-22;lh;14.07.2024;Sued;li;ton;7;53;1;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;1;0;1;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-23;lh;14.07.2024;Sued;li;ton;5;114;1;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;1;1;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
läuse im pollen?;x;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-3;lh;14.07.2024;Sued;li;ton;8;145;10;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;4;3;1;0;;6;5;1;30;na;na;Psocoptera;psocoptera spec I;unbekannt;1;30;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-5;lh;14.07.2024;Sued;li;ton;8;152;3;na;0;na;b;*;*;Megachilidae;osmia cornuta;pollen;na;3;2;1;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-wi-ref-sued-2-li;he-wi-ref-sued-2-li-O-91;pb;07.10.2024;Sued;li;ton;5;91;2;0;0;z;b;*;*;Megachilidae;osmia cornuta;pollen;na;1;1;0;0;;1;0;1;1;♦;♦;Drosophilidae;cacoxenus indagator;cleptoparasit;1;1;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-7;lh;14.07.2024;Sued;li;ton;5;90;7;na;45;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;7;7;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-li;he-bv-afs-acker-sued-li-W-9;lh;14.07.2024;Sued;li;ton;7;91;3;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;2;2;0;0;;1;1;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-O-1;pb;14.07.2024;Sued;re;ton;7;148;4;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;0;0;0;0;;4;4;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-O-10;pb;14.07.2024;Sued;re;ton;8;162;9;na;15;na;b;*;*;Megachilidae;osmia cornuta;pollen;na;7;4;3;0;;2;2;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-O-12;pb;14.07.2024;Sued;re;ton;7;60;3;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;2;2;0;0;;1;1;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-O-14;pb;14.07.2024;Sued;re;ton;6;94;7;na;31;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;3;3;0;0;;4;4;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-O-15;pb;14.07.2024;Sued;re;ton;7;77;5;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;5;1;4;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-O-16;pb;14.07.2024;Sued;re;ton;5;133;9;na;2;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;9;9;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-O-17;pb;14.07.2024;Sued;re;ton;7;148;6;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;6;5;1;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-O-18;pb;14.07.2024;Sued;re;ton;5;96;3;na;49;na;na;na;na;na;na;pollen;na;0;0;0;0;;3;3;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-O-4;pb;14.07.2024;Sued;re;ton;8;126;5;1;0;na;b;*;*;Megachilidae;osmia cornuta;pollen;na;5;4;1;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-O-5;pb;14.07.2024;Sued;re;ton;6;93;4;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;4;3;1;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-O-7;pb;14.07.2024;Sued;re;ton;7;112;5;na;0;na;b;*;*;Megachilidae;osmia cornuta;pollen;na;5;2;3;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-O-8;pb;14.07.2024;Sued;re;ton;7;84;5;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;5;5;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-W-11;pb;14.07.2024;Sued;re;ton;5;120;3;na;3;o;na;na;na;na;na;na;na;0;0;0;3;;0;0;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-W-13;pb;14.07.2024;Sued;re;ton;7;127;8;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;7;7;0;0;;1;1;0;;;;;;;;;;;;;;;;alife
;;;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-W-2;pb;14.07.2024;Sued;re;ton;5;136;9;na;30;o;na;na;na;na;na;pollen;na;0;0;0;9;;0;0;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-W-3;pb;14.07.2024;Sued;re;ton;6;144;3;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;3;1;2;0;;0;0;0;;;;;;;;;;;;;;;;alife
angefangene BZ;;;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-W-6;pb;14.07.2024;Sued;re;ton;5;0;0;0;0;na;na;na;na;na;na;na;na;0;0;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-acker-sued-re;he-bv-afs-acker-sued-re-W-9;pb;14.07.2024;Sued;re;ton;7;102;3;na;1;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;3;3;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;;he-bv-afs-br-nord-li;he-bv-afs-br-nord-li-O-1;pb;14.07.2024;Nord;li;ton;5;58;7;na;75;o;na;na;na;na;na;pollen;na;0;0;0;7;;0;0;0;;;;;;;;;;;;;;;;dead
;;;he-bv-afs-br-nord-li;he-bv-afs-br-nord-li-O-10;pb;14.07.2024;Nord;li;ton;5;173;15;na;0;o;na;na;na;na;na;na;na;0;0;0;15;;0;0;0;;;;;;;;;;;;;;;;dead
leer;;;he-bv-afs-br-nord-li;he-bv-afs-br-nord-li-O-11;pb;14.07.2024;Nord;li;na;6;na;1;na;0;na;d;♦;♦;Tachinidae;triarthria setipennis;na;na;0;0;0;0;;1;1;0;;;;;;;;;;;;;;;;dead
;;;he-bv-afs-br-nord-li;he-bv-afs-br-nord-li-O-12;pb;14.07.2024;Nord;li;ton;4;68;1;na;0;o;na;na;na;na;na;na;na;0;0;0;1;;0;0;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-br-nord-li;he-bv-afs-br-nord-li-O-13;pb;14.07.2024;Nord;li;ton;8;165;12;0;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;5;3;2;0;;7;7;0;;;;;;;;;;;;;;;;alife
;;;he-bv-afs-br-nord-li;he-bv-afs-br-nord-li-O-15;pb;14.07.2024;Nord;li;ton;3;105;7;na;7;o;na;na;na;na;na;na;na;0;0;0;7;;0;0;0;;;;;;;;;;;;;;;;dead
nur larvennahrung;;;he-bv-afs-br-nord-li;he-bv-afs-br-nord-li-O-3;pb;14.07.2024;Nord;li;cellophan;4;77;9;na;105;na;w;na;na;Crabronidae;passaloecus spec;blattlaus;na;0;0;0;0;;9;9;0;;;;;;;;;;;;;;;;dead
;;;he-bv-afs-br-nord-li;he-bv-afs-br-nord-li-O-6;pb;14.07.2024;Nord;li;ton;3;69;2;na;2;na;na;na;na;na;na;na;na;0;0;0;0;;2;2;0;;;;;;;;;;;;;;;;dead
;;;he-bv-afs-br-nord-li;he-bv-afs-br-nord-li-O-7;pb;14.07.2024;Nord;li;ton;6;170;3;na;9;o;na;na;na;na;na;na;na;0;0;0;3;;0;0;0;;;;;;;;;;;;;;;;dead
zzgl totes tier;;;he-bv-afs-br-nord-li;he-bv-afs-br-nord-li-O-8;pb;14.07.2024;Nord;li;ton;5;153;6;na;6;na;na;na;na;na;na;na;na;0;0;0;0;;6;6;0;;;;;;;;;;;;;;;;dead
;;;he-bv-afs-br-nord-li;he-bv-afs-br-nord-li-O-9;pb;14.07.2024;Nord;li;ton;6;142;3;na;9;o;na;na;na;na;na;na;na;0;0;0;3;;0;0;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-br-nord-li;he-bv-afs-br-nord-li-W-14;pb;14.07.2024;Nord;li;ton;8;105;5;na;5;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;4;1;3;0;;1;1;0;;;;;;;;;;;;;;;;alife
;;;he-bv-afs-br-nord-li;he-bv-afs-br-nord-li-W-16;pb;14.07.2024;Nord;li;ton;4;78;7;na;32;o;na;na;na;na;na;na;na;0;0;0;7;;0;0;0;;;;;;;;;;;;;;;;dead
;;x;he-wi-ref-sued-2-li;he-wi-ref-sued-2-li-W-97;pb;07.10.2024;Sued;li;ton;6;94;4;0;0;z;b;*;*;Megachilidae;osmia bicornis;pollen;na;3;3;0;0;;1;0;1;1;♦;♦;Drosophilidae;cacoxenus indagator;cleptoparasit;1;1;;;;;;;;alife
;;;he-bv-afs-br-nord-li;he-bv-afs-br-nord-li-W-2;pb;14.07.2024;Nord;li;ton;5;47;2;0;6;na;na;na;na;na;na;na;na;0;0;0;0;;2;2;0;;;;;;;;;;;;;;;;dead
;;;he-bv-afs-br-nord-li;he-bv-afs-br-nord-li-W-4;pb;14.07.2024;Nord;li;ton;4;93;4;na;1;o;na;na;na;na;na;na;na;0;0;0;4;;0;0;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-br-nord-li;he-bv-afs-br-nord-li-W-5;pb;14.07.2024;Nord;li;ton;5;154;4;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;3;3;0;0;;1;0;1;30;na;na;Psocoptera;psocoptera spec I;unbekannt;1;30;;;;;;;;alife
;;x;he-bv-afs-br-nord-re;he-bv-afs-br-nord-re-O-1;lh;14.07.2024;Nord;re;ton;6;136;9;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;9;9;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;;he-bv-afs-br-nord-re;he-bv-afs-br-nord-re-O-10;lh;14.07.2024;Nord;re;ton;4;29;2;na;68;o;na;na;na;na;na;na;na;0;0;0;2;;0;0;0;;;;;;;;;;;;;;;;dead
;;;he-bv-afs-br-nord-re;he-bv-afs-br-nord-re-O-11;lh;14.07.2024;Nord;re;ton;7;94;1;na;21;o;na;na;na;na;na;na;na;0;0;0;1;;0;0;0;;;;;;;;;;;;;;;;dead
;;;he-bv-afs-br-nord-re;he-bv-afs-br-nord-re-O-12;lh;14.07.2024;Nord;re;ton;6;74;3;na;0;o;na;na;na;na;na;na;na;0;0;0;3;;0;0;0;;;;;;;;;;;;;;;;dead
;;;he-bv-afs-br-nord-re;he-bv-afs-br-nord-re-O-14;lh;14.07.2024;Nord;re;ton;7;159;12;na;0;o;na;na;na;na;na;pollen;na;0;0;0;12;;0;0;0;;;;;;;;;;;;;;;;dead
;;;he-bv-afs-br-nord-re;he-bv-afs-br-nord-re-O-15;lh;14.07.2024;Nord;re;ton;5;45;1;na;0;o;na;na;na;na;na;na;na;0;0;0;1;;0;0;0;;;;;;;;;;;;;;;;dead
;;;he-bv-afs-br-nord-re;he-bv-afs-br-nord-re-O-16;lh;14.07.2024;Nord;re;ton;8;140;3;na;0;o;na;na;na;na;na;pollen;na;0;0;0;3;;0;0;0;;;;;;;;;;;;;;;;dead
;;;he-bv-afs-br-nord-re;he-bv-afs-br-nord-re-O-17;lh;14.07.2024;Nord;re;ton;7;102;8;na;0;o;na;na;na;na;na;na;na;0;0;0;8;;0;0;0;;;;;;;;;;;;;;;;dead
;;;he-bv-afs-br-nord-re;he-bv-afs-br-nord-re-O-2;lh;14.07.2024;Nord;re;ton;5;115;2;na;0;o;na;na;na;na;na;pollen;na;0;0;0;2;;0;0;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-br-nord-re;he-bv-afs-br-nord-re-O-4;lh;14.07.2024;Nord;re;ton;6;129;2;na;9;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;0;0;0;0;;2;2;0;;;;;;;;;;;;;;;;dead
;;;he-bv-afs-br-nord-re;he-bv-afs-br-nord-re-O-5;lh;14.07.2024;Nord;re;ton;6;89;4;na;102;o;na;na;na;na;na;pollen;na;0;0;0;4;;0;0;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-br-nord-re;he-bv-afs-br-nord-re-O-6;lh;14.07.2024;Nord;re;ton;8;125;8;na;9;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;4;0;4;0;;4;4;0;;;;;;;;;;;;;;;;alife
;;;he-bv-afs-br-nord-re;he-bv-afs-br-nord-re-O-7;lh;14.07.2024;Nord;re;ton;6;190;17;na;0;o;na;na;na;na;na;pollen;na;0;0;0;17;;0;0;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-br-nord-re;he-bv-afs-br-nord-re-O-8;lh;14.07.2024;Nord;re;ton;7;45;2;na;76;na;b;*;*;Megachilidae;osmia cornuta;pollen;na;2;2;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;;he-bv-afs-br-nord-re;he-bv-afs-br-nord-re-W-13;lh;14.07.2024;Nord;re;ton;6;115;4;na;na;o;na;na;na;na;na;na;na;0;0;0;4;;0;0;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-br-nord-re;he-bv-afs-br-nord-re-W-18;lh;14.07.2024;Nord;re;ton;9;136;10;na;20;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;8;3;5;0;;2;2;0;;;;;;;;;;;;;;;;alife
pollenreste;;;he-bv-afs-br-nord-re;he-bv-afs-br-nord-re-W-3;lh;14.07.2024;Nord;re;ton;6;65;7;na;0;na;na;na;na;na;na;pollen;na;0;0;0;0;;7;7;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-br-west-li;he-bv-afs-br-west-li-O-1;pb;14.07.2024;West;li;ton;6;104;6;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;6;6;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;;he-bv-afs-br-west-li;he-bv-afs-br-west-li-O-11-1;pb;14.07.2024;West;li;ton;7;135;7;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;7;5;2;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-br-west-li;he-bv-afs-br-west-li-O-11-2;pb;14.07.2024;West;li;ton;8;20;1;na;na;na;b;*;*;Megachilidae;osmia cornuta;pollen;na;1;1;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-br-west-li;he-bv-afs-br-west-li-O-12;pb;14.07.2024;West;li;ton;5;96;5;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;4;4;0;0;;1;1;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-br-west-li;he-bv-afs-br-west-li-O-13;pb;14.07.2024;West;li;ton;6;100;4;0;3;na;b;*;*;Megachilidae;osmia cornuta;pollen;na;4;3;1;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;;he-bv-afs-br-west-li;he-bv-afs-br-west-li-O-14-1;pb;14.07.2024;West;li;ton;7;110;5;na;0;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;5;5;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-br-west-li;he-bv-afs-br-west-li-O-14-2;pb;14.07.2024;West;li;ton;8;20;1;na;na;na;b;*;*;Megachilidae;osmia cornuta;pollen;na;1;1;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;;he-bv-afs-br-west-li;he-bv-afs-br-west-li-O-15;pb;14.07.2024;West;li;ton;4;55;2;na;0;o;na;na;na;na;na;na;na;0;0;0;2;;0;0;0;;;;;;;;;;;;;;;;dead
;;x;he-bv-afs-br-west-li;he-bv-afs-br-west-li-O-16-1;pb;14.07.2024;West;li;ton;7;30;2;0;na;na;b;*;*;Megachilidae;osmia bicornis;pollen;na;2;2;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;;he-bv-afs-br-west-li;he-bv-afs-br-west-li-O-16-2;pb;14.07.2024;West;li;ton;7;75;2;0;3;na;b;*;*;Megachilidae;osmia cornuta;pollen;na;2;1;1;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-br-west-li;he-bv-afs-br-west-li-O-17;pb;14.07.2024;West;li;ton;8;25;2;0;32;z;b;*;*;Megachilidae;osmia bicornis;pollen;na;2;1;1;0;;0;0;0;;;;;;;;;;;;;;;;alife
schimmlig;;x;he-bv-afs-br-west-li;he-bv-afs-br-west-li-O-18;pb;14.07.2024;West;li;ton;8;80;4;0;0;z;b;*;*;Megachilidae;osmia cornuta;pollen;na;0;0;0;0;;4;4;0;;;;;;;;;;;;;;;;dead
angefangene BZ;;;he-bv-afs-br-west-li;he-bv-afs-br-west-li-O-19;pb;14.07.2024;West;li;ton;6;0;0;0;0;na;na;na;na;na;na;na;na;0;0;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
;;x;he-bv-afs-br-west-li;he-bv-afs-br-west-li-O-6;pb;14.07.2024;West;li;ton;8;123;5;na;15;na;b;*;*;Megachilidae;osmia cornuta;pollen;na;3;0;3;0;;2;2;0;;;;;;;;;;;;;;;;alife
angefangene BZ;;;he-bv-afs-br-west-li;he-bv-afs-br-west-li-O-7;pb;14.07.2024;West;li;ton;6;0;0;0;0;na;na;na;na;na;na;na;na;0;0;0;0;;0;0;0;;;;;;;;;;;;;;;;alife
